SEASON_ID,SEASON,STAGE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21996,1996-97 Season,Regular Season,29601125,1610612764,WAS,Washington,0.5,0.2,0.133,0.298,0.494,0.256,0.152,0.34
21996,1996-97 Season,Regular Season,29601125,1610612766,CHH,Charlotte,0.494,0.256,0.152,0.27699999999999997,0.5,0.2,0.133,0.36200000000000004
21996,1996-97 Season,Regular Season,29601116,1610612764,WAS,Washington,0.5579999999999999,0.209,0.09300000000000001,0.15,0.385,0.22,0.18100000000000002,0.46399999999999997
21996,1996-97 Season,Regular Season,29601116,1610612751,NJN,New Jersey,0.385,0.22,0.18100000000000002,0.406,0.5579999999999999,0.209,0.09300000000000001,0.175
21996,1996-97 Season,Regular Season,29601093,1610612764,WAS,Washington,0.519,0.21,0.17600000000000002,0.205,0.475,0.395,0.175,0.38
21996,1996-97 Season,Regular Season,29601093,1610612761,TOR,Toronto,0.475,0.395,0.175,0.3,0.519,0.21,0.17600000000000002,0.318
21996,1996-97 Season,Regular Season,29601079,1610612764,WAS,Washington,0.575,0.204,0.14800000000000002,0.341,0.5670000000000001,0.32899999999999996,0.142,0.222
21996,1996-97 Season,Regular Season,29601079,1610612738,BOS,Boston,0.5670000000000001,0.32899999999999996,0.142,0.2,0.575,0.204,0.14800000000000002,0.386
21996,1996-97 Season,Regular Season,29601067,1610612764,WAS,Washington,0.5429999999999999,0.391,0.196,0.297,0.486,0.452,0.126,0.318
21996,1996-97 Season,Regular Season,29601067,1610612750,MIN,Minnesota,0.486,0.452,0.126,0.25,0.5429999999999999,0.391,0.196,0.324
21996,1996-97 Season,Regular Season,29601057,1610612764,WAS,Washington,0.529,0.287,0.129,0.386,0.542,0.193,0.11699999999999999,0.244
21996,1996-97 Season,Regular Season,29601057,1610612741,CHI,Chicago,0.542,0.193,0.11699999999999999,0.171,0.529,0.287,0.129,0.455
21996,1996-97 Season,Regular Season,29601041,1610612764,WAS,Washington,0.569,0.45799999999999996,0.171,0.359,0.5329999999999999,0.45299999999999996,0.156,0.35600000000000004
21996,1996-97 Season,Regular Season,29601041,1610612754,IND,Indiana,0.5329999999999999,0.45299999999999996,0.156,0.311,0.569,0.45799999999999996,0.171,0.359
21996,1996-97 Season,Regular Season,29601025,1610612764,WAS,Washington,0.45799999999999996,0.337,0.17,0.431,0.45799999999999996,0.131,0.124,0.306
21996,1996-97 Season,Regular Season,29601025,1610612742,DAL,Dallas,0.45799999999999996,0.131,0.124,0.22399999999999998,0.45799999999999996,0.337,0.17,0.49
21996,1996-97 Season,Regular Season,29601017,1610612764,WAS,Washington,0.585,0.268,0.193,0.308,0.46299999999999997,0.235,0.226,0.3
21996,1996-97 Season,Regular Season,29601017,1610612761,TOR,Toronto,0.46299999999999997,0.235,0.226,0.28,0.585,0.268,0.193,0.359
21996,1996-97 Season,Regular Season,29601003,1610612764,WAS,Washington,0.5539999999999999,0.27699999999999997,0.158,0.28300000000000003,0.488,0.28800000000000003,0.172,0.313
21996,1996-97 Season,Regular Season,29601003,1610612738,BOS,Boston,0.488,0.28800000000000003,0.172,0.271,0.5539999999999999,0.27699999999999997,0.158,0.37
21996,1996-97 Season,Regular Season,29600975,1610612764,WAS,Washington,0.514,0.595,0.125,0.188,0.474,0.5529999999999999,0.171,0.28300000000000003
21996,1996-97 Season,Regular Season,29600975,1610612757,POR,Portland,0.474,0.5529999999999999,0.171,0.261,0.514,0.595,0.125,0.22899999999999998
21996,1996-97 Season,Regular Season,29600963,1610612764,WAS,Washington,0.465,0.151,0.201,0.327,0.5379999999999999,0.218,0.22,0.33299999999999996
21996,1996-97 Season,Regular Season,29600963,1610612745,HOU,Houston,0.5379999999999999,0.218,0.22,0.262,0.465,0.151,0.201,0.327
21996,1996-97 Season,Regular Season,29600949,1610612764,WAS,Washington,0.442,0.26899999999999996,0.237,0.27699999999999997,0.429,0.28600000000000003,0.19699999999999998,0.265
21996,1996-97 Season,Regular Season,29600949,1610612742,DAL,Dallas,0.429,0.28600000000000003,0.19699999999999998,0.184,0.442,0.26899999999999996,0.237,0.34
21996,1996-97 Season,Regular Season,29600941,1610612764,WAS,Washington,0.66,0.264,0.239,0.226,0.46799999999999997,0.177,0.262,0.313
21996,1996-97 Season,Regular Season,29600941,1610612759,SAS,San Antonio,0.46799999999999997,0.177,0.262,0.25,0.66,0.264,0.239,0.258
21996,1996-97 Season,Regular Season,29600923,1610612764,WAS,Washington,0.541,0.28800000000000003,0.159,0.205,0.53,0.5820000000000001,0.18100000000000002,0.395
21996,1996-97 Season,Regular Season,29600923,1610612762,UTA,Utah,0.53,0.5820000000000001,0.18100000000000002,0.184,0.541,0.28800000000000003,0.159,0.256
21996,1996-97 Season,Regular Season,29600918,1610612764,WAS,Washington,0.557,0.529,0.22,0.3,0.513,0.278,0.17800000000000002,0.289
